Load	Tipo de Veículo	Tipo Transporte	 Valor do Frete 
913386	Truck	Convencional	   3.890,40 
191371	Truck	Convencional	   5.968,00 
816236	Truck	Convencional	   6.462,00 
624267	Truck	Convencional	   5.358,00 
941668	Truck	Convencional	   3.512,00 
990612	Truck	Convencional	   4.074,00 
779206	Truck	Convencional	   3.444,00 
567917	Truck	Convencional	   5.674,00 
466245	Truck	Convencional	   5.443,20 
138687	Truck	Convencional	   4.023,00 
345115	Truck	Convencional	   6.486,00 
483891	Truck	Convencional	   5.082,00 
710212	Truck	Convencional	   4.433,00 
948138	Truck	Convencional	   4.249,00 
365858	Truck	Convencional	   4.796,00 
741195	Truck	Convencional	   4.243,00 
385047	Truck	Convencional	   3.446,00 
346027	Truck	Convencional	   4.425,60 
315344	Truck	Convencional	   5.026,80 
491783	Truck	Convencional	   3.516,00 
983763	Truck	Convencional	   3.678,00 
762292	Truck	Convencional	   5.301,60 
104167	Truck	Convencional	   5.240,00 
399465	Truck	Convencional	   6.213,60 
896351	Truck	Convencional	   3.828,00 
941549	Truck	Convencional	   5.012,00 
442250	Truck	Convencional	   6.063,60 
777624	Truck	Convencional	   5.722,00 
419167	Truck	Convencional	   3.091,00 
292052	Truck	Convencional	   5.629,20 
556000	Truck	Convencional	   4.822,00 
306721	Truck	Convencional	   6.098,40 
765532	Truck	Convencional	   3.772,80 
648638	Truck	Convencional	   3.961,00 
536981	Truck	Convencional	   3.663,00 
782336	Truck	Convencional	   4.893,00 
180062	Truck	Convencional	   4.171,00 
884135	Truck	Convencional	   3.778,80 
239839	Truck	Convencional	   4.977,60 
216926	Truck	Convencional	   6.232,80 
694043	Truck	Convencional	   5.342,00 
552421	Truck	Convencional	   5.630,00 
860284	Truck	Convencional	   5.474,40 
193904	Truck	Convencional	   5.084,40 
648607	Truck	Convencional	   5.341,00 
356954	Truck	Convencional	   5.857,00 
545263	Truck	Convencional	   5.441,00 
596019	Truck	Convencional	   3.960,00 
321339	Truck	Convencional	   4.182,00 
202754	Truck	Convencional	   4.992,00 
672234	Truck	Convencional	   4.844,00 
787142	Truck	Convencional	   4.362,00 
267380	Truck	Convencional	   3.031,00 
745855	Truck	Convencional	   4.162,00 
296339	Truck	Convencional	   4.722,00 
869014	Truck	Convencional	   4.952,00 
767276	Truck	Convencional	   3.525,00 
484045	Truck	Convencional	   4.859,00 
446585	Truck	Convencional	   4.278,00 
746698	Truck	Convencional	   5.254,80 
823645	Truck	Convencional	   4.116,00 
506255	Truck	Convencional	   3.705,00 
257063	Truck	Convencional	   3.401,00 
874959	Truck	Convencional	   4.556,40 
727271	Truck	Convencional	   4.645,20 
588969	Truck	Convencional	   5.558,00 
893935	Truck	Convencional	   5.836,00 
756829	Truck	Convencional	   4.881,00 
214971	Truck	Convencional	   4.691,00 
932797	Truck	Convencional	   4.132,00 
305372	Truck	Convencional	   5.241,00 
360302	Truck	Convencional	   3.099,00 
964170	Truck	Convencional	   6.788,40 
943448	Truck	Convencional	   3.955,20 
292354	Truck	Convencional	   4.855,20 
703457	Truck	Convencional	   3.670,80 
717507	Truck	Convencional	   4.450,00 
229280	Truck	Convencional	   3.220,00 
899152	Truck	Convencional	   4.640,00 
414968	Truck	Convencional	   5.067,00 
343191	Truck	Convencional	   5.477,00 
330912	Truck	Convencional	   3.921,60 
970254	Truck	Convencional	   5.452,80 
134102	Truck	Convencional	   5.451,60 
394680	Truck	Convencional	   4.599,60 
336940	Truck	Convencional	   5.406,00 
106387	Truck	Convencional	   6.541,20 
377528	Truck	Convencional	   4.084,80 
862718	Truck	Convencional	   3.833,00 
195369	Truck	Convencional	   5.239,00 
159478	Truck	Convencional	   4.785,00 
811686	Truck	Convencional	   3.196,00 
373373	Truck	Convencional	   5.273,00 
415464	Truck	Convencional	   5.295,00 
191095	Truck	Convencional	   4.057,00 
176151	Truck	Convencional	   4.698,00 
732483	Truck	Convencional	   3.805,20 
816100	Truck	Convencional	   5.314,00 
259643	Truck	Convencional	   4.348,80 
196250	Truck	Convencional	   7.028,40 
813676	Truck	Convencional	   4.949,00 
934453	Truck	Convencional	   3.297,00 
540351	Truck	Convencional	   5.880,00 
560745	Truck	Convencional	   5.539,00 
722858	Truck	Convencional	   5.403,60 
930456	Truck	Convencional	   5.857,00 
483905	Truck	Convencional	   5.390,00 
833443	Truck	Convencional	   5.272,80 
236514	Truck	Convencional	   5.918,00 
536004	Truck	Convencional	   3.531,00 
201859	Truck	Convencional	   4.022,40 
758140	Truck	Convencional	   4.126,00 
218882	Truck	Convencional	   4.531,20 
124892	Truck	Convencional	   4.383,00 
229803	Truck	Convencional	   4.914,00 
210834	Truck	Convencional	   4.252,80 
686926	Truck	Convencional	   4.458,00 
803361	Truck	Convencional	   3.783,00 
133478	Truck	Convencional	   5.415,00 
125243	Truck	Convencional	   3.452,00 
348833	Truck	Convencional	   4.285,20 
589521	Truck	Convencional	   4.816,00 
518514	Truck	Convencional	   3.949,00 
123349	Truck	Convencional	   6.268,80 
602071	Truck	Convencional	   4.916,00 
623759	Truck	Convencional	   4.776,00 
223080	Truck	Convencional	   3.394,00 
178016	Truck	Convencional	   4.126,00 
241190	Truck	Convencional	   3.614,00 
348733	Truck	Convencional	   5.821,00 
253684	Truck	Convencional	   4.646,40 
708605	Truck	Convencional	   6.075,60 
283350	Truck	Convencional	   3.299,00 
964721	Truck	Convencional	   5.506,00 
453934	Truck	Convencional	   6.708,00 
879708	Truck	Convencional	   3.361,00 
644610	Truck	Convencional	   4.179,00 
904849	Truck	Convencional	   4.440,00 
243290	Truck	Convencional	   5.768,00 
207193	Truck	Convencional	   4.087,00 
554313	Truck	Convencional	   6.046,80 
398364	Truck	Convencional	   5.596,80 
165102	Truck	Convencional	   3.120,00 
754949	Truck	Convencional	   4.900,80 
321296	Truck	Convencional	   3.926,00 
884005	Truck	Convencional	   5.750,00 
564125	Truck	Convencional	   5.245,00 
689687	Truck	Convencional	   4.841,00 
599780	Truck	Convencional	   4.850,00 
346019	Truck	Convencional	   5.096,00 
572391	Truck	Convencional	   5.099,00 
799243	Truck	Convencional	   3.650,00 
149200	Truck	Convencional	   3.705,00 
171766	Truck	Convencional	   6.986,40 
589351	Truck	Convencional	   5.511,00 
347549	Truck	Convencional	   3.388,00 
590154	Truck	Convencional	   5.026,00 
446905	Truck	Convencional	   5.915,00 
296456	Truck	Convencional	   4.367,00 
312598	Truck	Convencional	   4.892,00 
403865	Truck	Convencional	   5.634,00 
140243	Truck	Convencional	   4.916,00 
620519	Truck	Convencional	   5.686,80 
690881	Truck	Convencional	   3.607,20 
903251	Truck	Convencional	   4.387,00 
595370	Truck	Convencional	   5.450,00 
980948	Truck	Convencional	   4.249,00 
341333	Truck	Convencional	   3.772,00 
838149	Truck	Convencional	   7.030,80 
424567	Truck	Convencional	   5.912,00 
181182	Truck	Convencional	   3.697,20 
648937	Truck	Convencional	   4.333,00 
598740	Truck	Convencional	   4.343,00 
372386	Truck	Convencional	   6.680,40 
139854	Truck	Convencional	   4.079,00 
858761	Truck	Convencional	   5.583,60 
179646	Truck	Convencional	   5.475,60 
412583	Truck	Convencional	   3.963,00 
805341	Truck	Convencional	   3.634,80 
183966	Truck	Convencional	   3.888,00 
867257	Truck	Convencional	   5.756,40 
206800	Truck	Convencional	   4.164,00 
757633	Truck	Convencional	   5.462,40 
561458	Truck	Convencional	   6.289,20 
393324	Truck	Convencional	   3.613,20 
964790	Truck	Convencional	   4.722,00 
655649	Truck	Convencional	   6.384,00 
319730	Truck	Convencional	   5.277,00 
158542	Truck	Convencional	   3.149,00 
253757	Truck	Convencional	   4.153,00 
296879	Truck	Convencional	   3.289,00 
846272	Truck	Convencional	   6.501,60 
283446	Truck	Convencional	   6.457,20 
134076	Truck	Convencional	   5.316,00 
623927	Truck	Convencional	   5.008,80 
446509	Truck	Convencional	   5.720,40 
425942	Truck	Convencional	   6.445,20 
734725	Truck	Convencional	   3.678,00 
978064	Truck	Convencional	   4.128,00 
781999	Truck	Convencional	   4.161,60 
306844	Truck	Convencional	   5.777,00 
999167	Truck	Convencional	   5.443,00 
441851	Truck	Convencional	   5.786,00 
602220	Truck	Convencional	   5.184,00 
969376	Truck	Convencional	   4.136,40 
948062	Truck	Convencional	   6.816,00 
438254	Truck	Convencional	   4.523,00 
372407	Truck	Convencional	   6.340,80 
266920	Truck	Convencional	   5.002,80 
700315	Truck	Convencional	   3.741,60 
250328	Truck	Convencional	   5.931,60 
739195	Truck	Convencional	   4.524,00 
617031	Truck	Convencional	   3.686,00 
715429	Truck	Convencional	   4.344,00 
213071	Truck	Convencional	   4.789,00 
183701	Truck	Convencional	   5.152,00 
413951	Truck	Convencional	   4.086,00 
237063	Truck	Convencional	   3.297,00 
903161	Truck	Convencional	   3.713,00 
271259	Truck	Convencional	   3.598,00 
181163	Truck	Convencional	   5.111,00 
928233	Truck	Convencional	   5.106,00 
731211	Truck	Convencional	   5.972,00 
354352	Truck	Convencional	   3.952,00 
112732	Truck	Convencional	   5.917,00 
947245	Truck	Convencional	   4.625,00 
820019	Truck	Convencional	   5.622,00 
977607	Truck	Convencional	   4.570,00 
165284	Truck	Convencional	   5.155,00 
345699	Truck	Convencional	   6.564,00 
378773	Truck	Convencional	   3.847,20 
498134	Truck	Convencional	   3.747,60 
760451	Truck	Convencional	   5.419,00 
439501	Truck	Convencional	   4.373,00 
252709	Truck	Convencional	   5.680,80 
397246	Truck	Convencional	   4.862,00 
583623	Truck	Convencional	   6.313,20 
412383	Truck	Convencional	   3.079,00 
543494	Truck	Convencional	   3.889,00 
150713	Truck	Convencional	   5.222,00 
919599	Truck	Convencional	   5.623,00 
331983	Truck	Convencional	   3.089,00 
102827	Truck	Convencional	   5.943,60 
666789	Truck	Convencional	   6.651,60 
350900	Truck	Convencional	   5.223,00 
735409	Truck	Convencional	   5.789,00 
918587	Truck	Convencional	   4.681,00 
154437	Truck	Convencional	   4.645,20 
429665	Truck	Convencional	   3.181,00 
752919	Truck	Convencional	   3.422,00 
927273	Truck	Convencional	   6.718,80 
716479	Truck	Convencional	   5.385,00 
574538	Truck	Convencional	   4.154,00 
427312	Truck	Convencional	   3.524,00 
626255	Truck	Convencional	   4.051,00 
528872	Truck	Convencional	   4.088,40 
785650	Truck	Convencional	   4.574,40 
591927	Truck	Convencional	   5.749,20 
144243	Truck	Convencional	   4.773,00 
672039	Truck	Convencional	   5.058,00 
143001	Truck	Convencional	   5.478,00 
283328	Truck	Convencional	   3.906,00 
373594	Truck	Convencional	   7.176,00 
934502	Truck	Convencional	   6.864,00 
434878	Truck	Convencional	   3.883,20 
638498	Truck	Convencional	   3.381,00 
926349	Truck	Convencional	   3.856,00 
106995	Truck	Convencional	   4.710,00 
